Species	Jaw_length	Basal_length	Upper_canine	Lower_canine	Gape_distance	Body_mass	Skull_width	Bite_force	Prey_size	Locomotor_category
Acinonyx_jubatus	112.94	49.15	18.63	15.7	93.8	47	123	110	large	terrestrial
Profelis_aurata	99.67	45.74	16.05	16.78	80.24	11	86	112	mixed	terrestrial
Caracal_caracal	83.92	35.74	13.88	12.27	69.05	13	83	106	mixed	scansorial
Felis_chaus	64.8	30.08	10.97	10.23	52.32	10	81	112	small	terrestrial
Felis_margarita	54.42	28.19	11.16	9.09	41.49	2	70	85	small	terrestrial
Felis_nigripes	50.91	28.3	9.64	8.64	39.48	2	65	88	small	terrestrial
Felis_silvestris	58.21	28.47	10.73	9.73	45.58	6	66	93	small	terrestrial
Leopardus_colocolo	57.37	30.29	10.33	9.44	45.3	3	70	97	small	scansorial
Leopardus_geofroyyi	57.59	31.77	11.17	10.42	43.73	4	59	99	small	terrestrial
Leopardus_pardalis	82.14	40.61	16.1	14.2	62.89	14	90	108	mixed	scansorial
Leopardus_tigrinus	49.59	27.71	8.54	7.72	40	2	59	95	small	scansorial
Leopardus_wiedii	53.76	28.47	9.05	8.97	42.97	3	68	98	small	arborial
Lynx_canadensis	77.84	35.06	16.01	15.48	56.83	11	89	97	mixed	terrestrial
Lynx_rufus	70.9	33.12	13.15	12.71	54.57	10	86	98	mixed	scansorial
Neofelis_nebulosa	105.4	46.11	30.11	23.59	65.88	20	112	111	mixed	arborial
Panthera_leo	207.9	84.47	45.78	36.32	153.76	166	223	91	large	terrestrial
Panthera_onca	157.93	69	36.8	31.74	110.63	97	175	109	large	scansorial
Panthera_pardus	138.02	60.36	32.05	28.74	95.79	59	142	105	large	scansorial
Panthera_tigris	211.82	74.46	47.79	44.25	148.27	186	217	101	large	terrestrial
Panthera_unica	116.85	47.12	26.09	25.43	81.05	50	134	99	large	scansorial
Pardofelis_marmorata	61.71	28.31	12.85	11.87	45.29	4	70	103	small	arborial
Prionailurus_bengalensis	58.88	28.96	10.31	10.04	46.45	5	68	108	small	scansorial
Prionailurus_planiceps	62.24	32.32	12.25	11.66	46.7	2	58	121	small	terrestrial
Prionailurus_rubiginosus	49.13	21.93	8.32	7.88	39.55	1	50	111	small	terrestrial
Prionailurus_viverrinus	85.22	41.99	16.36	16.24	64.07	11	92	126	small	terrestrial
Puma_concolor	123.78	56.4	23.56	21.44	95.43	70	156	110	large	scansorial
Puma_yaguaouroundi	62.37	35.11	10.06	8.67	52.03	7	64	119	small	scansorial
